嗚呼,ああ,Ah!
受け取り,うけとり,receipt
受身,うけみ,passive
動き,うごき,movement
潮,うしお,tide
氏,うじ,family name
渦,うず,swirl
埋まる,うずまる,to be buried
嘘つき,うそつき,liar 
打ち合わせ,うちあわせ,business meeting
打ち合わせる,うちあわせる,to knock together
打ち切る,うちきる,to stop
打ち消し,うちけし,negation
打ち込む,うちこむ,to drive in 
団扇,うちわ,fan
内訳,うちわけ,the items
訴え,うったえ,lawsuit
鬱陶しい,うっとうしい,gloomy
写し,うつし,copy
空ろ,うつろ,blank
器,うつわ,bowl
雨天,うてん,rainy weather
腕前,うでまえ,ability
饂飩,うどん,noodles 
促す,うながす,to urge
唸る,うなる,to groan
自惚れ,うぬぼれ,pretension
甘い,うまい,delicious
生まれつき,うまれつき,by nature
海路,うみじ,sea route
産む,うむ,to give birth
埋め込む,うめこむ,to bury
梅干,うめぼし,dried plum
末,うら,top end
裏返し,うらがえし,inside out
売り出す,うりだす,to put on sale
潤う,うるおう,to be moist
五月蝿い,うるさい,noisy
売れ行き,うれゆき,sales
浮気,うわき,flighty
上手,うわて,1. upper part
上回る,うわまわる,to exceed
植わる,うわる,to be planted
運営,うんえい,management
うんざり,うんざり,tedious
運送,うんそう,shipping
運賃,うんちん,freight rates
云々,うんぬん,and so on
運搬,うんぱん,transport
運命,うんめい,fate
運輸,うんゆ,transportation
運用,うんよう,making use of
会,え,understanding
重,え,-fold
えい,えい,ray 
映写,えいしゃ,projection
英字,えいじ,English letter 
衛生,えいせい,health
映像,えいぞう,reflection
英雄,えいゆう,hero
液,えき,liquid
役,えき,war
閲覧,えつらん,inspection
獲物,えもの,game
襟,えり,neck
縁,えん,chance
塩,えん,salt
艶,えん,charming
園,えん,garden 
円滑,えんかつ,harmony
縁側,えんがわ,veranda
沿岸,えんがん,coast
婉曲,えんきょく,euphemistic
演習,えんしゅう,practice
演出,えんしゅつ,production 
演じる,えんじる,to perform 
演ずる,えんずる,to perform
沿線,えんせん,along railway line
縁談,えんだん,marriage proposal
遠方,えんぽう,long way
円満,えんまん,perfection
尾,お,tail
於,お,at
甥,おい,nephew
追い込む,おいこむ,to herd
美味しい,おいしい,delicious
追い出す,おいだす,to expel
於いて,おいて,at
お出でになる,おいでになる,to be
老いる,おいる,to age
負う,おう,to bear
応急,おうきゅう,emergency
黄金,おうごん,gold
黄色,おうしょく,yellow
応募,おうぼ,subscription
おおい,おおい,hey!
大方,おおかた,perhaps
大柄,おおがら,large build
大げさ,おおげさ,grandiose
大事,おおごと,important
大ざっぱ,おおざっぱ,rough 
大筋,おおすじ,outline
大空,おおぞら,heaven
大幅,おおはば,full width
大水,おおみず,flood
公,おおやけ,official
お蔭様で,おかげさまで,Thanks to god
可笑しい,おかしい,strange
犯す,おかす,to commit
侵す,おかす,to invade
お菜,おかず,side dish
臆病,おくびょう,cowardice
遅らす,おくらす,to retard
遅れ,おくれ,delay
起こす,おこす,to raise
行い,おこない,deed
厳か,おごそか,austere
傲る,おごる,to be proud
長,おさ,chief
押さえる,おさえる,to stop
お先に,おさきに,before
収まる,おさまる,to be obtained
納まる,おさまる,to be obtained
治まる,おさまる,to be at peace
教え,おしえ,teachings
押し込む,おしこむ,to push into
惜しむ,おしむ,to be frugal
お喋り,おしゃべり,chattering
お洒落,おしゃれ,smartly dressed
押し寄せる,おしよせる,to push aside
お祖父さん,おじいさん,grandfather
お邪魔します,おじゃまします,Excuse me for disturbing 
雄,おす,male 
お世辞,おせじ,flattery
襲う,おそう,to attack
遅くとも,おそくとも,at the latest
恐らく,おそらく,perhaps
恐れ,おそれ,fear
恐れ入る,おそれいる,to be filled with awe
お大事に,おだいじに,Take care of yourself
煽てる,おだてる,to stir up
落ち込む,おちこむ,to fall into
落ち着き,おちつき,calm
落ち葉,おちば,fallen leaves
落ちる,おちる,to fail 
おっかない,おっかない,frightening
仰っしゃる,おっしゃる,to say
乙,おつ,1. strange
お使い,おつかい,errand
お手上げ,おてあげ,all over
御手洗い,おてあらい,toilet
弟,おと,younger brother
落とす,おとす,to drop
訪れる,おとずれる,to visit
大人しい,おとなしい,obedient
少女,おとめ,daughter
お供,おとも,attendant
衰える,おとろえる,to become weak
おどおど,おどおど,coweringly
脅かす,おどかす,to threaten
脅す,おどす,to threaten
驚き,おどろき,surprise
同い年,おないどし,of the same age
女子,おなご,woman
お願いします,おねがいします,please
各,おのおの,each
自ずから,おのずから,naturally
お早う,おはよう,Good morning
お祖母さん,おばあさん,grandmother
怯える,おびえる,to become frightened
夥しい,おびただしい,abundantly
帯びる,おびる,to wear
覚え,おぼえ,memory
御負け,おまけ,1. a discount
お巡りさん,おまわりさん,policeman 
お宮,おみや,Shinto shrine
お襁褓,おむつ,diaper
面,おも,face
思い付き,おもいつき,plan
面白い,おもしろい,interesting
玩具,おもちゃ,toy
重なる,おもなる,main
趣,おもむき,meaning
赴く,おもむく,to go
重役,おもやく,heavy responsibilities
重んじる,おもんじる,to respect
重んずる,おもんずる,to honor
お休み,おやすみ,holiday
お八,おやつ,1. 
凡そ,およそ,about
及び,および,and
及ぶ,およぶ,to reach
織,おり,weave
檻,おり,cage
折り返す,おりかえす,to turn up
織物,おりもの,textile
織る,おる,to weave
俺,おれ,I 
愚か,おろか,foolish
疎か,おろそか,neglect
終わる,おわる,to finish
音色,おんいろ,tone color
温和,おんわ,gentle
仮,か,tentative
科,か,department
個,か,article counter
下位,かい,low rank
階,かい,-floor 
改悪,かいあく,deterioration
海運,かいうん,maritime
改革,かいかく,reform
貝殻,かいがら,shell
階級,かいきゅう,class
海峡,かいきょう,channel
会見,かいけん,interview
介護,かいご,nursing
開催,かいさい,holding a meeting
回収,かいしゅう,collection
改修,かいしゅう,repair
怪獣,かいじゅう,monster
解除,かいじょ,cancellation
回送,かいそう,forwarding
階層,かいそう,class
開拓,かいたく,reclamation 
会談,かいだん,conversation
改定,かいてい,reform
改訂,かいてい,revision
街道,かいどう,highway
介入,かいにゅう,intervention
開発,かいはつ,development
海抜,かいばつ,height above sea level
介抱,かいほう,nursing
解剖,かいぼう,dissection
回覧,かいらん,circulation
